like,1_essential,basics,
want,1_essential,basics,
know,1_essential,basics,
sure,1_essential,basics,
believe,1_essential,basics,
can,1_essential,basics,
will,1_essential,basics,
possible,2_veryfreq,basics,
do,1_essential,basics,
agree,1_essential,basics,
jacket,3_freq,clothes,
tshirt,3_freq,clothes,
trousers,2_veryfreq,clothes,
jumper,3_freq,clothes,
skirt,3_freq,clothes,
dress,3_freq,clothes,
pants,3_freq,clothes,
shorts,3_freq,clothes,
shoes,2_veryfreq,clothes,
socks,3_freq,clothes,
jeans,3_freq,clothes,
coat,3_freq,clothes,
hat,3_freq,clothes,
scarf,4_lessfreq,clothes,
boots,4_lessfreq,clothes,
tie,4_lessfreq,clothes,
gloves,4_lessfreq,clothes,
sandals,4_lessfreq,clothes,
shirt,3_freq,clothes,
swimtrunks,4_lessfreq,clothes,
swimsuit,4_lessfreq,clothes,
toilet,2_veryfreq,directions,
up,2_veryfreq,directions,
down,2_veryfreq,directions,
floor,2_veryfreq,directions,
upstairs,3_freq,directions,
downstairs,3_freq,directions,
ask,2_veryfreq,directions,
door,3_freq,directions,
go,2_veryfreq,directions,
fire,3_freq,directions,
escape,3_freq,directions,
exit,3_freq,directions,
stairs,3_freq,directions,
lift,3_freq,directions,
left,2_veryfreq,directions,
right,2_veryfreq,directions,
kitchen,2_veryfreq,directions,
hello,1_essential,basics,
how are you,1_essential,basics,
good,1_essential,basics,
good morning,1_essential,basics,
name,1_essential,basics,
please,1_essential,basics,
thank you,1_essential,basics,
haven't seen you in ages,2_veryfreq,basics,
nice to meet you,2_veryfreq,basics,
sorry,1_essential,basics,
rude,3_freq,basics,
see you later,2_veryfreq,basics,
see you again,2_veryfreq,basics,
good afternoon,3_freq,basics,
good night,3_freq,basics,
sign,1_essential,classroom,
fingerspell,1_essential,classroom,
eye contact,3_freq,classroom,
watch me,2_veryfreq,classroom,
next,2_veryfreq,classroom,
what,1_essential,classroom,
start,3_freq,classroom,
stop,2_veryfreq,classroom,
finish,2_veryfreq,classroom,
again,2_veryfreq,classroom,
voice,3_freq,classroom,
lip pattern,2_veryfreq,classroom,
try,2_veryfreq,classroom,
practice,2_veryfreq,classroom,
learn,1_essential,classroom,
team,3_freq,classroom,
pair,3_freq,classroom,
slowly,1_essential,classroom,
expensive,3_freq,number-related,
money,2_veryfreq,number-related,
is that enough?,3_freq,number-related,
notes,3_freq,number-related,
pay,1_essential,number-related,
how many,3_freq,number-related,
lots,3_freq,number-related,
number,1_essential,number-related,
time,3_freq,number-related,
cheap,2_veryfreq,number-related,
figures,3_freq,number-related,
wages,3_freq,number-related,
add,2_veryfreq,number-related,
minus,2_veryfreq,number-related,
divide,2_veryfreq,number-related,
multiply,2_veryfreq,number-related,
pound,2_veryfreq,number-related,
pence,2_veryfreq,number-related,
town,3_freq,places,
shopping,3_freq,places,
bank,3_freq,places,
pharmacy,3_freq,places,
church,3_freq,places,
hospital,3_freq,places,
supermarket,3_freq,places,
swimming pool,4_lessfreq,places,
baker,4_lessfreq,places,
bookshop,3_freq,places,
car park,4_lessfreq,places,
cafe,3_freq,places,
florist,4_lessfreq,places,
garage,4_lessfreq,places,
health centre,4_lessfreq,places,
road,3_freq,places,
postbox,4_lessfreq,places,
pub,3_freq,places,
petrol,4_lessfreq,places,
post office,4_lessfreq,places,
village,4_lessfreq,places,
me,1_essential,basics,
who,1_essential,basics,
easy,1_essential,basics,
you,1_essential,basics,
think,1_essential,basics,
on,2_veryfreq,prepositions,
under,2_veryfreq,prepositions,
in,2_veryfreq,prepositions,
beside,2_veryfreq,prepositions,
behind,2_veryfreq,prepositions,
in front,2_veryfreq,prepositions,
between,3_freq,prepositions,
weather,1_essential,weather,
sunny,2_veryfreq,weather,
rain,2_veryfreq,weather,
cloudy,2_veryfreq,weather,
windy,3_freq,weather,
snow,3_freq,weather,
icy,3_freq,weather,
lightning,3_freq,weather,
thunder,3_freq,weather,
cold,2_veryfreq,weather,
dry,2_veryfreq,weather,
hot weather,3_freq,weather,
wet,2_veryfreq,weather,
awful,3_freq,weather,
foggy,3_freq,weather,
stormy,3_freq,weather,
ice,3_freq,weather,
rainbow,2_veryfreq,weather,
frost,3_freq,weather,
flood,4_lessfreq,weather,
changeable,4_lessfreq,weather,
mother,1_essential,family,
father,1_essential,family,
parents,1_essential,family,
child/children,1_essential,family,
boy,2_veryfreq,family,
girl,2_veryfreq,family,
auntie,3_freq,family,
uncle,3_freq,family,
husband,2_veryfreq,family,
wife,2_veryfreq,family,
in law,3_freq,family,
brother,3_freq,family,
sister,3_freq,family,
niece,3_freq,family,
nephew,3_freq,family,
cousin,3_freq,family,
pregnant,3_freq,family,
son,2_veryfreq,family,
daughter,2_veryfreq,family,
grandma,3_freq,family,
grandpa,3_freq,family,
divorced,4_lessfreq,family,
separated,4_lessfreq,family,
single,4_lessfreq,family,
adoption,3_freq,family,
stepbrother,4_lessfreq,family,
stepsister,4_lessfreq,family,
half brother,4_lessfreq,family,
fostering,3_freq,family,
boyfriend,2_veryfreq,family,
girlfriend,2_veryfreq,family,
partner,2_veryfreq,family,
woman,1_essential,descriptions,
man,1_essential,descriptions,
baby,1_essential,descriptions,
adult,1_essential,descriptions,
white,2_veryfreq,descriptions,
indian,2_veryfreq,descriptions,
asian,2_veryfreq,descriptions,
black,2_veryfreq,descriptions,
british,3_freq,descriptions,
tall,2_veryfreq,descriptions,
short,2_veryfreq,descriptions,
big,2_veryfreq,descriptions,
small,2_veryfreq,descriptions,
old,2_veryfreq,descriptions,
young,2_veryfreq,descriptions,
fat,3_freq,descriptions,
slim,3_freq,descriptions,
thin,3_freq,descriptions,
fair,3_freq,descriptions,
dark,3_freq,descriptions,
straight,3_freq,descriptions,
curly,3_freq,descriptions,
bald,3_freq,descriptions,
glasses,2_veryfreq,descriptions,
beard,3_freq,descriptions,
moustache,4_lessfreq,descriptions,
deaf,1_essential,descriptions,
hearing,1_essential,descriptions,
deafened,1_essential,descriptions,
sign language,1_essential,descriptions,
hearing aids,2_veryfreq,descriptions,
cochlear implant,2_veryfreq,descriptions,
computer,2_veryfreq,objects,
DVD,4_lessfreq,objects,
video,4_lessfreq,objects,
picture,3_freq,objects,
plant,3_freq,objects,
books,3_freq,objects,
camera,4_lessfreq,objects,
bottle,4_lessfreq,objects,
laptop,3_freq,objects,
key,3_freq,objects,
mobile phone,3_freq,objects,
ID card,4_lessfreq,objects,
watches,4_lessfreq,objects,
alarm clock,4_lessfreq,objects,
mirror,4_lessfreq,objects,
home,3_freq,home,
address,3_freq,home,
neighbour,3_freq,home,
house,3_freq,home,
room,3_freq,home,
wall,3_freq,home,
window,3_freq,home,
corner,4_lessfreq,home,
hall,4_lessfreq,home,
light,3_freq,home,
lightbulb,3_freq,home,
light off,4_lessfreq,home,
garden,3_freq,home,
flower,4_lessfreq,home,
tree,3_freq,home,
